LotFrontage,LotArea,BldgType1Fam,BldgType2fmCon,BldgTypeDuplex,BldgTypeTwnhs,BldgTypeTwnhsE,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,HeatingGasA,HeatingGasW,HeatingGrav,HeatingWall,CentralAirN,CentralAirY,GrLivArea,PoolArea,YrSold,SalePrice
69.7719596646823,15578,1,0,0,0,0,4,6,1,0,5,1972,1444,3,1,0,0,0,0,1,924,0,2010,205810.052466939
85,9084,1,0,0,0,0,5,7,1,0,4,1958,1073,3,1,0,0,0,0,1,1144,0,2010,152752.117756615
69.7719596646823,12342,1,0,0,0,0,4,6,2,0,5,2004,1056,3,1,0,0,0,0,1,1063,0,2008,153803.689965342
78,8658,1,0,0,0,0,4,5,1,0,7,2005,1142,4,1,0,0,0,0,1,1535,0,2007,181676.593640804
67,8402,1,0,0,0,0,5,8,1,0,8,2006,1406,3,1,0,0,0,0,1,1652,0,2006,204698.66113754
72,7000,1,0,0,0,0,5,7,2,0,5,1959,1196,2,1,0,0,0,0,1,925,0,2009,149653.428464796
69.7719596646823,9100,1,0,0,0,0,6,5,1,1,4,1954,951,3,1,0,0,0,0,1,2192,0,2008,139758.873476587
52,9144,1,0,0,0,0,5,5,1,0,6,1980,0,3,1,0,0,0,0,1,1982,0,2010,134905.878593172
50,10667,0,0,0,1,0,6,5,1,1,7,1960,1040,3,1,0,0,0,0,1,1767,0,2007,161083.377302157
81,3196,0,0,0,1,0,5,5,3,1,7,2001,1501,6,1,0,0,0,0,1,630,0,2009,173920.28688087
130,1950,1,0,0,0,0,7,7,2,0,9,1948,264,2,1,0,0,0,0,1,520,0,2007,76376.9923191982
69.7719596646823,7056,1,0,0,0,0,7,5,1,1,6,2004,1719,3,1,0,0,0,0,1,1128,0,2010,208245.733258962
55,7259,1,0,0,0,0,4,6,2,1,5,1918,1030,3,1,0,0,0,0,1,2520,0,2006,192206.058137135
90,8712,1,0,0,0,0,5,5,2,0,5,2005,1078,2,1,0,0,0,0,1,1040,0,2009,118461.671056593
24,8012,0,0,0,1,0,5,5,1,0,8,1913,993,2,0,1,0,0,0,1,1056,0,2007,76247.1113890396
79,13006,1,0,0,0,0,6,6,2,0,7,1953,686,3,1,0,0,0,0,1,1196,0,2007,185079.574016834
60,10778,1,0,0,0,0,5,6,2,1,7,1925,1478,3,1,0,0,0,0,1,1428,0,2007,164780.982595897
