id,locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15
sample_1,129,245,105,370,428,98,210,164,109,82,129,236,209,268,122
sample_2,127,233,105,370,428,110,210,164,109,82,127,242,213,266,122
sample_3,125,242,101,366,426,104,210,159,106,82,127,233,213,272,122
sample_4,129,236,101,372,428,98,210,164,109,82,127,236,213,272,122
sample_5,127,239,105,370,422,104,215,159,100,80,127,242,205,261,124
sample_6,121,233,105,361,422,110,210,172,97,84,119,245,201,272,122
sample_7,125,245,101,364,428,104,215,164,109,80,127,245,213,270,122
sample_8,119,233,105,361,422,110,210,176,103,82,119,245,201,270,124
sample_9,121,239,109,370,424,101,215,164,103,80,125,239,213,262,124
sample_10,125,239,109,370,422,104,210,168,103,80,125,242,209,264,124
sample_11,121,239,113,372,424,104,210,172,109,86,125,239,209,270,124
sample_12,119,233,109,361,422,110,210,176,103,84,121,245,201,272,124
sample_13,119,233,109,361,422,110,210,176,100,84,119,242,201,270,124
sample_14,125,242,113,372,428,101,215,172,100,82,125,236,213,261,124
sample_15,127,233,101,372,426,104,210,164,106,82,125,233,209,262,122
sample_16,125,239,109,370,422,101,215,164,100,80,125,239,209,262,122
sample_17,125,242,109,364,424,104,210,168,109,82,129,236,209,272,122
sample_18,125,233,105,370,424,104,215,159,100,82,125,239,209,261,124
sample_19,123,239,113,372,424,107,210,176,106,86,125,236,209,268,122
sample_20,123,239,105,368,426,104,215,164,97,78,125,239,209,261,124
sample_21,119,233,105,361,422,110,210,176,100,84,119,242,201,270,124
sample_22,123,236,105,372,424,107,210,164,109,86,125,239,209,268,124
sample_23,119,239,105,372,424,98,215,172,100,80,123,239,213,268,124
sample_24,127,242,109,364,428,110,210,164,109,80,125,245,209,272,124
sample_25,127,245,109,372,428,101,215,164,100,80,125,239,209,264,124
sample_26,127,242,105,364,428,98,210,159,106,82,129,245,213,268,122
sample_27,127,242,105,366,428,110,210,164,112,80,127,242,213,270,122
sample_28,119,233,105,372,424,107,210,159,106,82,125,239,209,268,122
sample_29,119,236,113,372,424,104,210,172,103,84,125,236,209,268,122
sample_30,121,236,105,372,424,104,210,168,100,84,125,236,209,268,124
sample_31,123,239,105,368,428,101,215,172,103,82,125,239,209,262,124
sample_32,123,236,105,370,428,101,215,164,103,78,125,239,205,261,122
sample_33,129,236,105,368,424,101,210,164,100,80,125,236,213,262,122
sample_34,125,242,105,366,428,104,210,164,109,80,129,239,205,266,122
sample_35,121,236,105,361,422,110,210,176,97,84,119,245,201,270,122
sample_36,119,233,109,362,422,110,210,172,97,84,119,245,201,270,124
sample_37,121,239,109,372,426,101,215,168,100,80,127,233,205,262,124
sample_38,121,236,113,372,424,104,215,172,106,80,125,233,209,268,124
sample_39,125,233,109,372,424,107,210,172,109,84,123,236,209,268,124
sample_40,125,245,109,364,424,104,210,168,109,82,125,239,213,272,122
sample_41,129,242,101,364,428,101,210,164,112,82,129,245,213,272,122
sample_42,125,236,109,370,426,107,210,164,100,82,123,236,205,262,124
sample_43,127,242,105,364,426,104,210,164,109,82,125,242,213,272,124
sample_44,121,239,109,368,424,101,215,159,100,78,127,239,205,261,124
sample_45,121,242,109,372,422,107,210,172,112,86,121,233,209,268,124
sample_46,127,239,109,370,424,98,215,168,100,78,129,239,205,261,124
sample_47,125,239,105,372,422,104,215,168,106,84,127,236,209,268,122
sample_48,121,236,105,372,422,107,210,176,106,84,123,236,213,268,122
sample_49,129,245,109,372,428,110,210,164,106,82,129,242,213,264,122
sample_50,119,236,109,362,422,110,210,176,97,84,119,245,201,270,124
sample_51,125,245,101,372,428,107,215,164,109,82,125,245,213,268,122
sample_52,119,239,105,372,424,107,215,172,109,84,119,236,209,268,122
sample_53,129,242,109,372,428,101,210,172,109,82,127,233,209,270,122
sample_54,119,239,105,372,424,101,210,172,106,86,127,242,209,268,124
sample_55,119,236,101,372,424,98,210,172,109,82,125,236,213,266,124
sample_56,127,239,113,372,424,107,210,172,103,80,125,236,209,268,124
sample_57,119,233,105,370,424,104,210,172,106,86,125,239,209,268,124
sample_58,123,239,109,372,424,104,215,168,109,82,121,236,213,270,124
sample_59,119,236,101,372,424,107,215,172,106,82,125,239,209,268,124
sample_60,127,233,113,372,422,98,210,172,97,78,127,239,205,261,124
sample_61,127,239,109,372,424,104,210,172,106,86,121,236,209,268,124
sample_62,127,236,113,372,424,107,215,172,106,86,125,236,209,268,124
sample_63,121,242,113,372,424,104,210,168,103,86,125,239,209,268,124
sample_64,119,233,109,361,422,110,210,176,97,84,119,245,201,270,122
sample_65,119,233,109,372,424,107,210,172,109,86,129,233,209,268,122
sample_66,125,242,105,372,424,107,215,172,106,80,119,236,209,268,124
sample_67,125,239,109,370,424,104,215,159,100,78,129,239,209,261,124
sample_68,121,233,105,361,422,110,210,176,100,84,119,245,201,270,122
sample_69,129,236,105,372,424,104,215,172,106,82,125,239,209,268,124
sample_70,121,245,105,372,426,101,215,176,97,82,125,239,209,261,124
sample_71,127,233,101,372,428,110,210,168,106,84,127,245,213,272,122
sample_72,129,242,105,372,424,107,210,172,106,84,127,236,213,268,124
sample_73,125,245,105,364,428,107,210,164,109,82,127,242,209,266,122
sample_74,121,242,109,372,424,110,210,176,106,86,121,242,209,268,124
sample_75,121,239,109,370,426,104,215,168,100,78,125,236,213,261,124
sample_76,125,245,101,372,428,104,210,164,109,82,129,245,209,272,124
sample_77,129,236,105,372,428,104,210,164,109,82,127,245,209,272,122
sample_78,121,239,109,372,426,101,215,172,100,80,127,239,205,261,124
sample_79,121,233,113,372,422,107,210,164,112,84,125,239,209,268,122
sample_80,123,239,105,366,424,107,210,168,106,82,123,233,213,268,122
sample_81,127,239,105,372,428,104,215,168,97,80,127,239,205,264,124
sample_82,119,236,105,372,424,107,215,168,109,86,125,239,213,268,122
sample_83,129,245,101,364,428,104,210,164,106,82,127,236,205,268,124
sample_84,125,236,101,372,424,104,215,172,103,86,125,236,213,268,124
sample_85,121,239,113,370,428,104,215,172,100,82,125,236,213,264,124
sample_86,129,239,109,372,426,104,210,172,103,82,127,245,205,261,124
sample_87,125,236,109,372,424,107,215,172,106,80,125,233,209,268,124
sample_88,125,239,105,370,428,101,215,172,106,82,127,239,209,262,124
sample_89,129,239,105,364,428,104,210,164,106,82,127,245,209,272,122
sample_90,127,239,101,368,426,107,210,164,106,82,129,245,213,272,124
sample_91,129,236,105,368,426,104,210,164,112,82,127,242,213,272,122
sample_92,121,233,105,361,422,110,210,176,100,84,121,245,201,270,124
sample_93,121,233,113,372,424,104,210,176,106,84,123,233,209,268,124
sample_94,123,236,105,372,422,104,210,172,103,86,129,236,213,268,122
sample_95,129,245,109,372,426,110,210,168,109,82,127,245,213,270,124
sample_96,123,239,105,372,422,101,215,172,103,80,125,239,205,264,122
sample_97,121,239,105,366,424,104,210,172,97,82,125,233,209,268,124
sample_98,121,236,113,366,424,107,210,172,109,86,121,233,213,268,124
sample_99,121,233,105,372,424,107,210,172,106,82,129,239,209,268,124
sample_100,121,233,113,372,424,107,210,172,106,82,123,242,209,268,122
sample_101,129,239,109,370,428,101,215,168,103,80,129,239,213,261,124
sample_102,123,239,109,372,422,104,215,168,100,78,129,245,205,264,124
sample_103,121,236,113,372,424,107,210,159,106,86,125,239,213,268,124
sample_104,127,233,105,364,426,104,215,172,109,82,125,236,213,272,122
sample_105,123,236,109,372,424,110,210,164,106,86,125,236,209,268,122
sample_106,129,239,109,368,428,101,215,168,103,80,129,239,205,264,124
sample_107,121,239,105,372,428,104,215,168,97,80,125,239,213,261,122
sample_108,125,245,101,372,424,104,210,164,109,82,127,245,205,262,122
sample_109,129,239,113,372,428,107,215,164,100,78,127,239,209,264,122
sample_110,125,245,105,366,428,104,210,164,100,82,127,242,213,272,122
sample_111,121,239,105,370,422,101,215,176,100,78,127,239,205,262,122
sample_112,123,236,105,372,424,107,210,159,106,86,121,239,209,268,124
sample_113,129,236,105,364,428,104,210,159,109,82,129,242,213,264,124
sample_114,127,236,105,364,428,101,210,164,109,80,125,245,213,272,122
sample_115,123,239,109,372,424,107,210,159,97,86,123,233,209,268,122
sample_116,125,242,105,362,428,104,210,172,106,82,129,245,209,270,122
sample_117,121,233,109,361,422,110,210,172,97,84,119,245,201,270,124
sample_118,121,236,105,372,424,110,210,172,112,86,129,239,209,268,124
sample_119,119,239,113,370,424,104,210,172,109,86,121,239,213,268,124
sample_120,129,242,105,362,428,110,210,159,109,80,129,242,209,264,122
sample_121,129,239,105,372,426,104,210,164,112,82,125,245,209,272,122
sample_122,127,239,109,372,422,104,215,164,100,78,129,239,205,262,124
sample_123,123,236,105,366,424,107,210,172,97,86,125,233,209,266,124
sample_124,127,239,105,372,426,98,215,172,100,78,129,245,205,264,124
sample_125,127,245,105,362,424,107,210,164,109,82,129,242,209,272,122
