id,breed_1,breed_2,breed_3,breed_4
sample_1,0,0,1,0
sample_2,0.25,0.25,0.25,0.25
sample_3,0.25,0.25,0.25,0.25
sample_4,0.25,0.25,0.25,0.25
sample_5,0,1,0,0
sample_6,0,0,0,4
sample_7,0.25,0.25,0.25,0.25
sample_8,0.25,0.25,0.25,0.25
sample_9,0.25,0.25,0.25,0.25
sample_10,0.25,0.25,0.25,0.25
sample_11,0.25,0.25,0.25,0.25
sample_12,0.25,0.25,0.25,0.25
sample_13,0.25,0.25,0.25,0.25
sample_14,0.25,0.25,0.25,0.25
sample_15,0.25,0.25,0.25,0.25
sample_16,0.25,0.25,0.25,0.25
sample_17,0.25,0.25,0.25,0.25
sample_18,0.25,0.25,0.25,0.25
sample_19,0.25,0.25,0.25,0.25
sample_20,0.25,0.25,0.25,0.25
sample_21,0.25,0.25,0.25,0.25
sample_22,0.25,0.25,0.25,0.25
sample_23,0.25,0.25,0.25,0.25
sample_24,0.25,0.25,0.25,0.25
sample_25,0.25,0.25,0.25,0.25
sample_26,0.25,0.25,0.25,0.25
sample_27,0.25,0.25,0.25,0.25
sample_28,0.25,0.25,0.25,0.25
sample_29,0.25,0.25,0.25,0.25
sample_30,0.25,0.25,0.25,0.25
sample_31,0.25,0.25,0.25,0.25
sample_32,0.25,0.25,0.25,0.25
sample_33,0.25,0.25,0.25,0.25
sample_34,0.25,0.25,0.25,0.25
sample_35,0.25,0.25,0.25,0.25
sample_36,0.25,0.25,0.25,0.25
sample_37,0.25,0.25,0.25,0.25
sample_38,0.25,0.25,0.25,0.25
sample_39,0.25,0.25,0.25,0.25
sample_40,0.25,0.25,0.25,0.25
sample_41,0.25,0.25,0.25,0.25
sample_42,0.25,0.25,0.25,0.25
sample_43,0.25,0.25,0.25,0.25
sample_44,0.25,0.25,0.25,0.25
sample_45,0.25,0.25,0.25,0.25
sample_46,0.25,0.25,0.25,0.25
sample_47,0.25,0.25,0.25,0.25
sample_48,0.25,0.25,0.25,0.25
sample_49,0.25,0.25,0.25,0.25
sample_50,0.25,0.25,0.25,0.25
sample_51,0.25,0.25,0.25,0.25
sample_52,0.25,0.25,0.25,0.25
sample_53,0.25,0.25,0.25,0.25
sample_54,0.25,0.25,0.25,0.25
sample_55,0.25,0.25,0.25,0.25
sample_56,0.25,0.25,0.25,0.25
sample_57,0.25,0.25,0.25,0.25
sample_58,0.25,0.25,0.25,0.25
sample_59,0.25,0.25,0.25,0.25
sample_60,0.25,0.25,0.25,0.25
sample_61,0.25,0.25,0.25,0.25
sample_62,0.25,0.25,0.25,0.25
sample_63,0.25,0.25,0.25,0.25
sample_64,0.25,0.25,0.25,0.25
sample_65,0.25,0.25,0.25,0.25
sample_66,0.25,0.25,0.25,0.25
sample_67,0.25,0.25,0.25,0.25
sample_68,0.25,0.25,0.25,0.25
sample_69,0.25,0.25,0.25,0.25
sample_70,0.25,0.25,0.25,0.25
sample_71,0.25,0.25,0.25,0.25
sample_72,0.25,0.25,0.25,0.25
sample_73,0.25,0.25,0.25,0.25
sample_74,0.25,0.25,0.25,0.25
sample_75,0.25,0.25,0.25,0.25
sample_76,0.25,0.25,0.25,0.25
sample_77,0.25,0.25,0.25,0.25
sample_78,0.25,0.25,0.25,0.25
sample_79,0.25,0.25,0.25,0.25
sample_80,0.25,0.25,0.25,0.25
sample_81,0.25,0.25,0.25,0.25
sample_82,0.25,0.25,0.25,0.25
sample_83,0.25,0.25,0.25,0.25
sample_84,0.25,0.25,0.25,0.25
sample_85,0.25,0.25,0.25,0.25
sample_86,0.25,0.25,0.25,0.25
sample_87,0.25,0.25,0.25,0.25
sample_88,0.25,0.25,0.25,0.25
sample_89,0.25,0.25,0.25,0.25
sample_90,0.25,0.25,0.25,0.25
sample_91,0.25,0.25,0.25,0.25
sample_92,0.25,0.25,0.25,0.25
sample_93,0.25,0.25,0.25,0.25
sample_94,0.25,0.25,0.25,0.25
sample_95,0.25,0.25,0.25,0.25
sample_96,0.25,0.25,0.25,0.25
sample_97,0.25,0.25,0.25,0.25
sample_98,0.25,0.25,0.25,0.25
sample_99,0.25,0.25,0.25,0.25
sample_100,0.25,0.25,0.25,0.25
sample_101,0.25,0.25,0.25,0.25
sample_102,0.25,0.25,0.25,0.25
sample_103,0.25,0.25,0.25,0.25
sample_104,0.25,0.25,0.25,0.25
sample_105,0.25,0.25,0.25,0.25
sample_106,0.25,0.25,0.25,0.25
sample_107,0.25,0.25,0.25,0.25
sample_108,0.25,0.25,0.25,0.25
sample_109,0.25,0.25,0.25,0.25
sample_110,0.25,0.25,0.25,0.25
sample_111,0.25,0.25,0.25,0.25
sample_112,0.25,0.25,0.25,0.25
sample_113,0.25,0.25,0.25,0.25
sample_114,0.25,0.25,0.25,0.25
sample_115,0.25,0.25,0.25,0.25
sample_116,0.25,0.25,0.25,0.25
sample_117,0.25,0.25,0.25,0.25
sample_118,0.25,0.25,0.25,0.25
sample_119,0.25,0.25,0.25,0.25
sample_120,0.25,0.25,0.25,0.25
sample_121,0.25,0.25,0.25,0.25
sample_122,0.25,0.25,0.25,0.25
sample_123,0.25,0.25,0.25,0.25
sample_124,0.25,0.25,0.25,0.25
sample_125,0.25,0.25,0.25,0.25
sample_126,0.25,0.25,0.25,0.25
sample_127,0.25,0.25,0.25,0.25
sample_128,0.25,0.25,0.25,0.25
sample_129,0.25,0.25,0.25,0.25
sample_130,0.25,0.25,0.25,0.25
sample_131,0.25,0.25,0.25,0.25
sample_132,0.25,0.25,0.25,0.25
sample_133,0.25,0.25,0.25,0.25
sample_134,0.25,0.25,0.25,0.25
sample_135,0.25,0.25,0.25,0.25
sample_136,0.25,0.25,0.25,0.25
sample_137,0.25,0.25,0.25,0.25
sample_138,0.25,0.25,0.25,0.25
sample_139,0.25,0.25,0.25,0.25
sample_140,0.25,0.25,0.25,0.25
sample_141,0.25,0.25,0.25,0.25
sample_142,0.25,0.25,0.25,0.25
sample_143,0.25,0.25,0.25,0.25
sample_144,0.25,0.25,0.25,0.25
sample_145,0.25,0.25,0.25,0.25
sample_146,0.25,0.25,0.25,0.25
sample_147,0.25,0.25,0.25,0.25
sample_148,0.25,0.25,0.25,0.25
sample_149,0.25,0.25,0.25,0.25
sample_150,0.25,0.25,0.25,0.25
sample_151,0.25,0.25,0.25,0.25
sample_152,0.25,0.25,0.25,0.25
sample_153,0.25,0.25,0.25,0.25
sample_154,0.25,0.25,0.25,0.25
sample_155,0.25,0.25,0.25,0.25
sample_156,0.25,0.25,0.25,0.25
sample_157,0.25,0.25,0.25,0.25
sample_158,0.25,0.25,0.25,0.25
sample_159,0.25,0.25,0.25,0.25
sample_160,0.25,0.25,0.25,0.25
sample_161,0.25,0.25,0.25,0.25
sample_162,0.25,0.25,0.25,0.25
sample_163,0.25,0.25,0.25,0.25
sample_164,0.25,0.25,0.25,0.25
sample_165,0.25,0.25,0.25,0.25
sample_166,0.25,0.25,0.25,0.25
sample_167,0.25,0.25,0.25,0.25
sample_168,0.25,0.25,0.25,0.25
sample_169,0.25,0.25,0.25,0.25
sample_170,0.25,0.25,0.25,0.25
sample_171,0.25,0.25,0.25,0.25
sample_172,0.25,0.25,0.25,0.25
sample_173,0.25,0.25,0.25,0.25
sample_174,0.25,0.25,0.25,0.25
sample_175,0.25,0.25,0.25,0.25
sample_176,0.25,0.25,0.25,0.25
sample_177,0.25,0.25,0.25,0.25
sample_178,0.25,0.25,0.25,0.25
sample_179,0.25,0.25,0.25,0.25
sample_180,0.25,0.25,0.25,0.25
sample_181,0.25,0.25,0.25,0.25
sample_182,0.25,0.25,0.25,0.25
sample_183,0.25,0.25,0.25,0.25
sample_184,0.25,0.25,0.25,0.25
sample_185,0.25,0.25,0.25,0.25
sample_186,0.25,0.25,0.25,0.25
sample_187,0.25,0.25,0.25,0.25
sample_188,0.25,0.25,0.25,0.25
sample_189,0.25,0.25,0.25,0.25
sample_190,0.25,0.25,0.25,0.25
sample_191,0.25,0.25,0.25,0.25
sample_192,0.25,0.25,0.25,0.25
sample_193,0.25,0.25,0.25,0.25
sample_194,0.25,0.25,0.25,0.25
sample_195,0.25,0.25,0.25,0.25
sample_196,0.25,0.25,0.25,0.25
sample_197,0.25,0.25,0.25,0.25
sample_198,0.25,0.25,0.25,0.25
sample_199,0.25,0.25,0.25,0.25
sample_200,0.25,0.25,0.25,0.25
sample_201,0.25,0.25,0.25,0.25
sample_202,0.25,0.25,0.25,0.25
sample_203,0.25,0.25,0.25,0.25
sample_204,0.25,0.25,0.25,0.25
sample_205,0.25,0.25,0.25,0.25
sample_206,0.25,0.25,0.25,0.25
sample_207,0.25,0.25,0.25,0.25
sample_208,0.25,0.25,0.25,0.25
sample_209,0.25,0.25,0.25,0.25
sample_210,0.25,0.25,0.25,0.25
sample_211,0.25,0.25,0.25,0.25
sample_212,0.25,0.25,0.25,0.25
sample_213,0.25,0.25,0.25,0.25
sample_214,0.25,0.25,0.25,0.25
sample_215,0.25,0.25,0.25,0.25
sample_216,0.25,0.25,0.25,0.25
sample_217,0.25,0.25,0.25,0.25
sample_218,0.25,0.25,0.25,0.25
sample_219,0.25,0.25,0.25,0.25
sample_220,0.25,0.25,0.25,0.25
