Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
1,,15578,1Fam,4,6,1,0,5,1972,1444,3,GasA,Y,924,0,2010,205810.052466939
2,85,9084,1Fam,5,7,1,0,4,1958,1073,3,GasA,Y,1144,0,2010,152752.117756615
3,,12342,1Fam,4,6,2,0,5,2004,1056,3,GasA,Y,1063,0,2008,153803.689965342
4,78,8658,1Fam,4,5,1,0,7,2005,1142,4,GasA,Y,1535,0,2007,181676.593640804
5,67,8402,1Fam,5,8,1,0,8,2006,1406,3,GasA,Y,1652,0,2006,204698.66113754
6,72,7000,1Fam,5,7,2,0,5,1959,1196,2,GasA,Y,925,0,2009,149653.428464796
7,,9100,1Fam,6,5,1,1,4,1954,951,3,GasA,Y,2192,0,2008,139758.873476587
8,52,9144,1Fam,5,5,1,0,6,1980,0,3,GasA,Y,1982,0,2010,134905.878593172
9,50,10667,Twnhs,6,5,1,1,7,1960,1040,3,GasA,Y,1767,0,2007,161083.377302157
10,81,3196,Twnhs,5,5,3,1,7,2001,1501,6,GasA,Y,630,0,2009,173920.28688087
11,130,1950,1Fam,7,7,2,0,9,1948,264,2,GasA,Y,520,0,2007,76376.9923191982
12,,7056,1Fam,7,5,1,1,6,2004,1719,3,GasA,Y,1128,0,2010,208245.733258962
13,55,7259,1Fam,4,6,2,1,5,1918,1030,3,GasA,Y,2520,0,2006,192206.058137135
14,90,8712,1Fam,5,5,2,0,5,2005,1078,2,GasA,Y,1040,0,2009,118461.671056593
15,24,8012,Twnhs,5,5,1,0,8,1913,993,2,GasW,Y,1056,0,2007,76247.1113890396
16,79,13006,1Fam,6,6,2,0,7,1953,686,3,GasA,Y,1196,0,2007,185079.574016834
17,60,10778,1Fam,5,6,2,1,7,1925,1478,3,GasA,Y,1428,0,2007,164780.982595897
18,60,7024,1Fam,5,5,2,0,8,1923,980,2,GasA,Y,960,0,2008,105346.932906362
19,,6402,TwnhsE,8,8,2,0,5,1967,864,2,GasA,N,2013,0,2009,244503.122392499
20,,4608,1Fam,4,7,1,1,4,1937,1606,3,GasA,Y,990,0,2010,119990.866265558
21,121,18800,1Fam,5,5,1,0,6,1994,1040,3,GasA,Y,1842,0,2009,190179.747212314
22,174,10637,1Fam,6,5,2,1,7,1971,953,2,GasA,Y,2090,0,2006,172179.77230031
23,104,8470,1Fam,4,7,1,1,8,1963,910,3,GasA,N,630,0,2006,112592.209004279
24,65,1920,Duplex,6,6,2,0,8,1910,1792,3,GasA,Y,1533,0,2009,147151.457952575
25,174,26178,1Fam,5,5,2,0,7,2006,1040,3,GasA,Y,860,0,2009,157069.162303599
26,80,3196,1Fam,6,5,2,0,6,2006,1753,3,GasA,Y,2087,0,2006,210540.492369346
27,51,6853,TwnhsE,7,6,2,1,6,1949,1264,3,GasA,Y,1626,0,2007,210888.891086772
28,130,7990,1Fam,5,5,2,0,5,1959,648,3,GasA,Y,1774,0,2009,121802.419000496
29,70,4456,1Fam,7,6,2,0,5,1965,1288,4,GasA,Y,848,0,2007,119333.867726964
30,51,7200,1Fam,7,5,2,1,6,1993,894,5,GasA,Y,1636,0,2008,183411.238305899
31,,5000,TwnhsE,9,6,1,0,7,1941,2217,3,GasA,Y,864,0,2008,221743.427150535
32,,10452,1Fam,7,6,2,0,5,2008,1112,3,GasA,Y,1936,0,2007,249356.105289022
33,,12011,Duplex,5,5,2,0,5,1968,1140,4,GasA,Y,1541,0,2007,140136.433692692
34,63,10140,1Fam,8,9,2,0,6,1996,1004,3,GasA,N,747,0,2006,188141.859914345
35,82,8125,1Fam,3,5,1,1,6,2009,912,3,GasA,Y,988,0,2007,136223.51989944
36,50,9100,1Fam,7,4,1,1,5,1999,1264,4,GasA,Y,969,0,2007,175915.211150233
37,55,8012,1Fam,5,5,1,0,7,1885,912,3,GasA,Y,2031,0,2009,155355.015051801
38,75,13568,TwnhsE,4,7,2,1,8,2007,1234,4,GasA,Y,2574,0,2006,228083.912894883
39,,10400,1Fam,6,5,2,0,6,1921,999,3,GasA,Y,1212,0,2008,97968.2137364071
40,60,10480,1Fam,5,6,2,1,6,1988,1050,3,GasA,Y,894,0,2006,100858.964227387
41,65,8064,1Fam,5,6,2,0,7,1893,1391,3,GasA,Y,1382,0,2008,132172.815318949
42,,12822,1Fam,5,5,1,1,5,1957,1095,3,GasA,Y,2267,0,2006,184055.111039777
43,103,1596,1Fam,6,5,1,1,4,1998,1073,3,GasA,Y,1412,0,2009,178289.797169471
44,83,6120,1Fam,6,5,2,0,6,1916,924,2,GasA,Y,1526,0,2007,117382.024439671
45,60,8125,TwnhsE,7,5,2,0,8,1996,0,3,GasA,Y,1194,0,2007,156410.958861137
46,80,13811,1Fam,4,4,1,0,7,1999,901,3,GasA,Y,1947,0,2009,185266.028192672
47,21,10400,1Fam,3,6,2,0,4,2004,1142,2,GasA,Y,1242,0,2006,158413.946889674
48,,8172,Duplex,4,5,2,0,5,1993,1258,3,GasA,Y,1728,0,2010,178101.640949419
49,,1920,1Fam,4,6,1,1,8,1925,1394,3,GasA,Y,1302,0,2008,131071.434838447
50,78,11050,1Fam,8,7,2,0,6,1975,1656,3,GasA,Y,1616,0,2009,245426.605899028
51,,6000,1Fam,9,5,1,1,8,1959,720,4,GasA,Y,1629,0,2006,220409.102270047
